date,cases,deaths,recovered,new_cases,new_deaths,new_recovered,active,case_fatality_rate
2020-06-05,6784951,431365,3006371,120976,4690,74821,3347215,6357.673033
2023-02-26,673519601,6789048,,141045,933,,,1007.995608
2022-12-31,658939437,6693323,,511391,1867,,,1015.772107
2022-11-15,635466532,6614475,,369129,1364,,,1040.884872
2020-03-11,125821,4629,66629,4450,192,2208,54563,3679.036091
2021-02-12,108605812,2478848,,406809,12079,,,2282.426653
2021-09-03,220391464,4581455,,630805,9798,,,2078.780601
2022-08-07,584195210,6438376,,1035605,2480,,,1102.093254
2020-09-19,30863894,1021472,21028771,290938,5392,225775,8813651,3309.601828
2021-05-26,168919511,3640186,,552243,11765,,,2154.982559
2022-01-27,366915040,5671429,,3369792,8787,,,1545.70633
2020-04-26,2970804,228101,843165,79226,6559,31669,1899538,7678.089837
2020-12-28,81534382,1857823,,566438,10636,,,2278.576172
2021-10-19,242193569,4943516,,411676,6907,,,2041.142554
2022-06-22,541319854,6348345,,569897,1387,,,1172.753032
2021-07-08,186057045,4039576,,417051,7795,,,2171.149176
2021-12-21,276637517,5400922,,690712,6924,,,1952.346182
2020-07-18,14288912,650144,8010853,222253,5762,146066,5627915,4549.98953
2020-12-31,83771267,1901662,,596437,11206,,,2270.064747
2021-11-28,261756998,5230374,,567867,7074,,,1998.179243
2022-05-13,520535395,6289765,,550069,1701,,,1208.326093
2020-06-22,9078274,513089,4512904,147488,5322,95455,4052281,5651.834258
2020-12-08,68409024,1634455,,625563,11018,,,2389.238882
2022-10-03,618077547,6549982,,431919,1469,,,1059.734661
2021-06-12,176156672,3824155,,382430,10534,,,2170.88286
2022-01-10,311387175,5529709,,2601922,6788,,,1775.830684
2020-06-28,10134668,542725,5126651,171244,4780,100700,4465292,5355.133488
2022-04-20,507112392,6239329,,697913,2544,,,1230.364136
2020-01-31,9927,214,225,1281,27,26,9488,2155.736879
2020-02-20,75582,2248,18172,2197,124,1695,55162,2974.253129
2020-10-26,43563903,1229473,29211115,443203,6096,211323,13123315,2822.228761
2022-03-31,488730290,6177699,,1493620,4680,,,1264.03031
2021-03-04,116088672,2674114,,388419,9349,,,2303.509855
2021-11-08,251097402,5086063,,463187,7096,,,2025.5339
2021-05-06,156374688,3392197,,776988,13283,,,2169.274992
2022-10-29,629616752,6590771,,376568,1582,,,1046.790921
2022-12-05,644347780,6643728,,512015,1511,,,1031.077968
2020-05-16,4637377,338638,1682706,86609,4975,45064,2616033,7302.360796
2021-01-20,97186196,2165014,,646322,14164,,,2227.697028
2021-09-26,232418325,4777114,,482898,8146,,,2055.394728
2022-06-02,530808617,6319760,,481862,1383,,,1190.591071
2020-08-24,23686185,871793,15327501,252035,5857,205867,7486891,3680.596939
2020-08-30,25261700,907102,16607324,257682,5731,211321,7747274,3590.819304
2022-02-16,418056106,5881046,,2074764,10393,,,1406.759982
2022-02-22,428152263,5935226,,1764207,9609,,,1386.241885
2020-04-03,1101509,66341,224830,71770,5209,13513,810338,6022.737899
2022-07-15,560949136,6387265,,947235,1866,,,1138.653149
2021-04-30,151804060,3313608,,812306,13805,,,2182.819089
2021-06-18,178332076,3880744,,363390,9478,,,2176.133474
2022-10-23,627140745,6580347,,428160,1593,,,1049.261598
2022-12-11,647573291,6654105,,529545,1674,,,1027.544695
2020-11-01,46588343,1271081,31048089,501043,6776,295460,14269173,2728.324122
2021-09-29,233843366,4803568,,464504,7994,,,2054.181858
2022-08-27,600146866,6487314,,711811,2271,,,1080.954408
2020-09-16,29928612,1004699,20320289,287249,5436,219263,8603624,3356.984948
2021-08-14,207336869,4381019,,646229,9719,,,2112.995639
2022-07-12,557516958,6380271,,926100,1915,,,1144.408418
2020-10-09,36930665,1135062,25696075,322024,5750,232269,10099528,3073.494615
2021-09-06,221812986,4603973,,594476,9499,,,2075.610217
2022-08-04,581618689,6432754,,1023921,2376,,,1106.00882
2021-04-13,137904890,3084726,,714875,12831,,,2236.850339
2023-02-06,670342565,6766447,,194772,1705,,,1009.401365
2021-03-21,123713477,2829094,,487052,9642,,,2286.811485
2021-07-22,193083406,4164868,,521145,9742,,,2157.030522
2023-01-14,665230405,6724914,,387469,2322,,,1010.915008
2023-01-20,667037524,6739466,,289781,2222,,,1010.357852
2021-12-15,272542618,5361426,,622300,7242,,,1967.188119
2020-01-28,5580,131,108,719,16,13,5341,2347.670251
2020-11-18,56360347,1423052,,589788,9451,,,2524.917031
2021-10-16,241020944,4924607,,407390,6866,,,2043.227828
2022-01-30,375303137,5697212,,3304797,9457,,,1518.029411
2022-04-26,511021814,6254425,,693732,2736,,,1223.905679
2022-10-06,619897623,6555795,,435980,1408,,,1057.560919
2022-12-28,657421978,6687073,,542005,1880,,,1017.166025
2020-03-14,156657,5879,72262,7305,327,1999,78516,3752.784746
2020-06-08,7128333,443217,3281038,121912,4754,85267,3404078,6217.680908
2021-02-09,107292014,2438245,,438196,12837,,,2272.531672
2021-12-01,263802219,5255561,,580659,7237,,,1992.235327
2023-03-01,674017370,6792252,,138789,933,,,1007.726552
2020-08-07,19381319,771862,11738425,255998,6226,195774,6871032,3982.505009
2022-03-11,455698889,6066072,,1636674,6661,,,1331.157952
2020-04-23,2722598,210398,736730,78394,7087,28164,1775470,7727.839365
2022-06-25,543197475,6352730,,646121,1473,,,1169.506541
2021-05-23,167366645,3605251,,587864,12330,,,2154.103645
